step,train_loss,lr,elapsed_sec,eval_model_nll,eval_bayes_nll,eval_gap_pct,eval_fresh
149,0.5884249731898308,7.45e-05,609.6029894351959,0.6101716087591234,0.48744039940956213,25.17871097640365,0
150,0.5976849794387817,7.5e-05,626.8754181861877,0.5941250708795363,0.44449362868960746,33.663349153294014,1
151,0.5644892528653145,7.549999999999999e-05,630.647467136383,0.5941250708795363,0.44449362868960746,33.663349153294014,0
152,0.5819736048579216,7.6e-05,634.5449171066284,0.5941250708795363,0.44449362868960746,33.663349153294014,0
153,0.6183476448059082,7.65e-05,638.4406230449677,0.5941250708795363,0.44449362868960746,33.663349153294014,0
154,0.6187012940645218,7.7e-05,642.3356113433838,0.5941250708795363,0.44449362868960746,33.663349153294014,0
155,0.6229554265737534,7.75e-05,646.2230694293976,0.5941250708795363,0.44449362868960746,33.663349153294014,0
156,0.616746075451374,7.8e-05,650.1317446231842,0.5941250708795363,0.44449362868960746,33.663349153294014,0
157,0.5969043746590614,7.85e-05,654.0310795307159,0.5941250708795363,0.44449362868960746,33.663349153294014,0
158,0.5888433456420898,7.9e-05,657.9416403770447,0.5941250708795363,0.44449362868960746,33.663349153294014,0
159,0.5992374122142792,7.950000000000001e-05,661.8333783149719,0.5941250708795363,0.44449362868960746,33.663349153294014,0
160,0.6217372342944145,8e-05,665.7317643165588,0.5941250708795363,0.44449362868960746,33.663349153294014,0
161,0.6058946996927261,8.05e-05,669.632805109024,0.5941250708795363,0.44449362868960746,33.663349153294014,0
162,0.5914675518870354,8.1e-05,673.5386641025543,0.5941250708795363,0.44449362868960746,33.663349153294014,0
163,0.6022691801190376,8.15e-05,677.4389691352844,0.5941250708795363,0.44449362868960746,33.663349153294014,0
164,0.5840331241488457,8.2e-05,681.3496172428131,0.5941250708795363,0.44449362868960746,33.663349153294014,0
165,0.5747797936201096,8.25e-05,685.2431781291962,0.5941250708795363,0.44449362868960746,33.663349153294014,0
166,0.6012340970337391,8.3e-05,689.1399455070496,0.5941250708795363,0.44449362868960746,33.663349153294014,0
167,0.5968049690127373,8.350000000000001e-05,693.0687427520752,0.5941250708795363,0.44449362868960746,33.663349153294014,0
168,0.6195554435253143,8.400000000000001e-05,697.0317816734314,0.5941250708795363,0.44449362868960746,33.663349153294014,0
169,0.5727251619100571,8.450000000000001e-05,700.9287745952606,0.5941250708795363,0.44449362868960746,33.663349153294014,0
170,0.6176157966256142,8.5e-05,704.8276257514954,0.5941250708795363,0.44449362868960746,33.663349153294014,0
171,0.56983782351017,8.55e-05,708.7223415374756,0.5941250708795363,0.44449362868960746,33.663349153294014,0
172,0.592213049530983,8.6e-05,712.62788438797,0.5941250708795363,0.44449362868960746,33.663349153294014,0
173,0.6268979534506798,8.65e-05,716.51842212677,0.5941250708795363,0.44449362868960746,33.663349153294014,0
174,0.6231527924537659,8.700000000000001e-05,720.4147684574127,0.5941250708795363,0.44449362868960746,33.663349153294014,0
175,0.5932445898652077,8.750000000000001e-05,724.3072052001953,0.5941250708795363,0.44449362868960746,33.663349153294014,0
176,0.608252540230751,8.8e-05,728.196839094162,0.5941250708795363,0.44449362868960746,33.663349153294014,0
177,0.6052060052752495,8.85e-05,732.0914394855499,0.5941250708795363,0.44449362868960746,33.663349153294014,0
178,0.6084396615624428,8.9e-05,736.0011963844299,0.5941250708795363,0.44449362868960746,33.663349153294014,0
179,0.5732149481773376,8.95e-05,739.9014382362366,0.5941250708795363,0.44449362868960746,33.663349153294014,0
180,0.6096008196473122,8.999999999999999e-05,743.7982964515686,0.5941250708795363,0.44449362868960746,33.663349153294014,0
181,0.5971658304333687,9.049999999999999e-05,747.6885457038879,0.5941250708795363,0.44449362868960746,33.663349153294014,0
182,0.5887378677725792,9.1e-05,751.5890250205994,0.5941250708795363,0.44449362868960746,33.663349153294014,0
183,0.6163452640175819,9.15e-05,755.4876205921173,0.5941250708795363,0.44449362868960746,33.663349153294014,0
184,0.5967193320393562,9.2e-05,759.3822066783905,0.5941250708795363,0.44449362868960746,33.663349153294014,0
